Time - Plot 0	Amplitude - Plot 0	
0	0	
1	0.841471	
2	0.909297	
3	0.14112	
4	-0.756802	
5	-0.958924	
6	-0.279415	
7	0.656987	
8	0	
9	0.841471	
10	0.909297	
11	0.14112	
12	-0.756802	
13	-0.958924	
14	-0.279415	
15	0.656987	
16	0.989358	
17	0.412118	
18	-0.544021	
19	-0.99999	
20	-0.536573	
21	0.420167	
22	0	
23	0.841471	
24	0.909297	
25	0.14112	
26	-0.756802	
27	-0.958924	
28	-0.279415	
29	0.656987	
30	0.989358	
31	0.412118	
32	-0.544021	
33	-0.99999	
34	-0.536573	
35	0.420167	
36	0.990607	
37	0.650288	
38	-0.287903	
39	-0.961397	
40	-0.750987	
41	0.149877	
